2023-04,2호선,0221,역삼,62,0,3577,6751,9624,39117,15618,147374,26407,357551,24225,303654,25727,131691,34048,67385,42044,58918,50310,64651,58579,50511,77527,45392,97249,42289,209586,50519,274765,58316,151729,36578,88162,22778,83027,19624,56172,16753,21109,10122,3331,3024,1,68,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0222,강남,184,13,8940,10705,18495,52239,39623,148976,63947,295614,52722,303214,52776,146767,68609,101527,86037,98981,99528,112447,110176,97516,133225,95724,159592,102743,237734,134555,308641,177724,201364,108546,158421,60169,184316,49930,166060,42626,77194,24423,13039,6605,2,111,0,1,0,0,2023-05-03 10:27:58
2023-04,2호선,0223,교대(법원.검찰청),41,3,2838,6931,11578,26957,26331,59031,38293,156587,30157,141602,28507,69369,33425,58255,35316,52654,43710,57253,51081,49569,56020,48028,57556,49944,95308,63394,134212,74094,65089,43981,54528,27023,55989,24373,45075,22165,16606,12041,3152,3245,0,16,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0224,서초,6,0,1881,5182,12991,21533,21344,52106,29841,110381,29498,93209,23002,44493,29963,36524,28344,25239,35824,27528,36077,25248,43384,21009,48309,23300,69317,26217,93249,28737,46109,19598,32190,11948,32651,11358,19050,10800,6745,5983,964,1469,0,7,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0225,방배,4,0,2619,2642,9678,13433,23084,27457,32177,78382,26510,60691,20637,37657,22307,28419,24739,29597,26999,27163,30983,26574,34298,25117,41698,26547,51372,33647,69295,38041,32021,27304,25266,18179,24685,16486,20917,17607,8312,9522,1630,2686,0,3,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0226,사당,104,3,11837,4364,28213,39661,76357,51015,98774,70994,76732,55671,50161,46649,46139,55719,52941,56863,55698,53499,59111,52421,61883,63409,66545,84205,77936,122123,96676,171747,69690,114919,67657,72537,72227,67437,65562,64557,35483,39238,5446,10753,2,584,0,1,0,0,2023-05-03 10:27:58
2023-04,2호선,0227,낙성대(강감찬),25,1,11213,2305,26423,10260,84126,22441,127483,41280,83002,35107,46485,30256,39003,24827,42890,28058,41938,30394,36846,31417,37837,36737,42721,43874,46729,61734,51663,101428,29849,84935,24188,57091,22423,55201,17132,54820,9352,33995,1611,9307,1,146,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0228,서울대입구(관악구청),4522,27,27339,2729,43717,14287,127996,29099,175370,70349,121575,66463,72005,58503,62390,47195,68783,51603,74575,58479,64040,57136,69676,64674,73990,78775,84829,107372,90729,175988,56902,138983,48048,88756,51105,84619,46164,82641,24169,48579,3920,19359,1,3254,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0229,봉천,104,1,15201,1576,29553,7014,83702,13094,121338,24932,77231,21143,44026,18612,35130,21672,36808,23158,36741,25709,30412,28738,29596,37158,31601,43463,30651,56611,31865,89992,20831,73001,16446,47361,14594,44718,11214,41688,4669,25274,857,7833,1,414,0,0,0,0,2023-05-03 10:27:58
2023-04,2호선,0230,신림,213,9,38178,4142,71864,18600,188345,28764,274388,43507,171001,44199,96004,40867,79646,45685,84757,51153,79177,58728,71545,62999,70188,80714,74235,100689,77707,136113,80251,228888,55151,197659,47473,128581,44807,124017,40102,117228,23096,74774,4559,21614,3,426,0,1,0,0,2023-05-03 10:27:58
