서울특별시 용산구 이촌제2동(1117064000),7973 ,7973 ,456 ,479 ,802 ,1283 ,1148 ,1291 ,1341 ,718 ,384 ,68 ,3 ,3735 ,3735 ,218 ,234 ,409 ,637 ,565 ,617 ,589 ,314 ,134 ,17 ,1 ,4238 ,4238 ,238 ,245 ,393 ,646 ,583 ,674 ,752 ,404 ,250 ,51 ,2
서울특별시 용산구 이태원제1동(1117065000),6125 ,6125 ,205 ,246 ,948 ,1119 ,802 ,923 ,993 ,520 ,295 ,73 ,1 ,3029 ,3029 ,96 ,121 ,502 ,637 ,407 ,433 ,481 ,205 ,121 ,26 ,0 ,3096 ,3096 ,109 ,125 ,446 ,482 ,395 ,490 ,512 ,315 ,174 ,47 ,1
서울특별시 용산구 이태원제2동(1117066000),8670 ,8670 ,372 ,429 ,1255 ,1633 ,1276 ,1252 ,1164 ,732 ,490 ,65 ,2 ,4045 ,4045 ,189 ,195 ,624 ,810 ,624 ,589 ,519 ,299 ,173 ,23 ,0 ,4625 ,4625 ,183 ,234 ,631 ,823 ,652 ,663 ,645 ,433 ,317 ,42 ,2
서울특별시 용산구 한남동(1117068500),19207 ,19207 ,1077 ,1098 ,2261 ,3592 ,3105 ,3024 ,2700 ,1446 ,794 ,109 ,1 ,9282 ,9282 ,563 ,569 ,1148 ,1737 ,1554 ,1440 ,1283 ,629 ,335 ,24 ,0 ,9925 ,9925 ,514 ,529 ,1113 ,1855 ,1551 ,1584 ,1417 ,817 ,459 ,85 ,1
서울특별시 용산구 서빙고동(1117069000),12536 ,12536 ,682 ,1395 ,1613 ,1398 ,2217 ,2196 ,1599 ,718 ,617 ,96 ,5 ,6032 ,6032 ,355 ,687 ,807 ,689 ,1062 ,1050 ,825 ,308 ,217 ,30 ,2 ,6504 ,6504 ,327 ,708 ,806 ,709 ,1155 ,1146 ,774 ,410 ,400 ,66 ,3
서울특별시 용산구 보광동(1117070000),12583 ,12583 ,311 ,625 ,1867 ,2004 ,1710 ,2247 ,2056 ,1086 ,593 ,81 ,3 ,6286 ,6286 ,170 ,363 ,1049 ,1140 ,874 ,1092 ,919 ,440 ,217 ,22 ,0 ,6297 ,6297 ,141 ,262 ,818 ,864 ,836 ,1155 ,1137 ,646 ,376 ,59 ,3
서울특별시 성동구 (1120000000),279980 ,279980 ,17642 ,18639 ,41850 ,45333 ,41804 ,44807 ,38485 ,20142 ,10023 ,1211 ,44 ,136059 ,136059 ,9060 ,9269 ,20454 ,22177 ,20945 ,22134 ,18789 ,9008 ,3886 ,325 ,12 ,143921 ,143921 ,8582 ,9370 ,21396 ,23156 ,20859 ,22673 ,19696 ,11134 ,6137 ,886 ,32
서울특별시 성동구 왕십리제2동(1120052000),16251 ,16251 ,1134 ,1089 ,2245 ,2775 ,2407 ,2627 ,2237 ,1140 ,521 ,76 ,0 ,7820 ,7820 ,562 ,559 ,1059 ,1339 ,1212 ,1280 ,1077 ,493 ,215 ,24 ,0 ,8431 ,8431 ,572 ,530 ,1186 ,1436 ,1195 ,1347 ,1160 ,647 ,306 ,52 ,0
서울특별시 성동구 왕십리도선동(1120053500),26385 ,26385 ,2004 ,1697 ,4154 ,4370 ,3985 ,4290 ,3278 ,1612 ,867 ,125 ,3 ,12426 ,12426 ,1039 ,877 ,1809 ,1988 ,1990 ,2024 ,1627 ,698 ,347 ,27 ,0 ,13959 ,13959 ,965 ,820 ,2345 ,2382 ,1995 ,2266 ,1651 ,914 ,520 ,98 ,3
서울특별시 성동구 마장동(1120054000),21971 ,21971 ,1041 ,1505 ,4165 ,3171 ,2734 ,3485 ,3175 ,1702 ,893 ,98 ,2 ,10838 ,10838 ,530 ,737 ,2111 ,1643 ,1400 ,1694 ,1555 ,797 ,340 ,31 ,0 ,11133 ,11133 ,511 ,768 ,2054 ,1528 ,1334 ,1791 ,1620 ,905 ,553 ,67 ,2
